CY,MY,FCET_type,Population.NoLoss,Population.Survived,Fleet,Hub,Age,Survival
2026,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 7,LA MTA Division 7 Maintenance Yard,7,0.93
2027,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 7,LA MTA Division 7 Maintenance Yard,8,0.92
2028,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 7,LA MTA Division 7 Maintenance Yard,9,0.89
2029,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 7,LA MTA Division 7 Maintenance Yard,10,0.86
2030,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 7,LA MTA Division 7 Maintenance Yard,11,0.8
2019,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 8,LA MTA Division 8 Maintenance Yard,0,1
2020,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 8,LA MTA Division 8 Maintenance Yard,1,0.99
2021,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 8,LA MTA Division 8 Maintenance Yard,2,0.98
2022,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 8,LA MTA Division 8 Maintenance Yard,3,0.97
2023,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 8,LA MTA Division 8 Maintenance Yard,4,0.96
2024,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 8,LA MTA Division 8 Maintenance Yard,5,0.95
2025,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 8,LA MTA Division 8 Maintenance Yard,6,0.94
2026,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 8,LA MTA Division 8 Maintenance Yard,7,0.93
2027,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 8,LA MTA Division 8 Maintenance Yard,8,0.92
2028,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 8,LA MTA Division 8 Maintenance Yard,9,0.89
2029,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 8,LA MTA Division 8 Maintenance Yard,10,0.86
2030,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 8,LA MTA Division 8 Maintenance Yard,11,0.8
2019,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 9,LA MTA Division 9 Maintenance Yard,0,1
2020,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 9,LA MTA Division 9 Maintenance Yard,1,0.99
2021,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 9,LA MTA Division 9 Maintenance Yard,2,0.98
2022,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 9,LA MTA Division 9 Maintenance Yard,3,0.97
2023,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 9,LA MTA Division 9 Maintenance Yard,4,0.96
2024,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 9,LA MTA Division 9 Maintenance Yard,5,0.95
2025,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 9,LA MTA Division 9 Maintenance Yard,6,0.94
2026,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 9,LA MTA Division 9 Maintenance Yard,7,0.93
2027,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 9,LA MTA Division 9 Maintenance Yard,8,0.92
2028,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 9,LA MTA Division 9 Maintenance Yard,9,0.89
2029,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 9,LA MTA Division 9 Maintenance Yard,10,0.86
2030,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 9,LA MTA Division 9 Maintenance Yard,11,0.8
2019,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 10,LA MTA Division 10 Maintenance Yard,0,1
2020,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 10,LA MTA Division 10 Maintenance Yard,1,0.99
2021,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 10,LA MTA Division 10 Maintenance Yard,2,0.98
2022,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 10,LA MTA Division 10 Maintenance Yard,3,0.97
2023,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 10,LA MTA Division 10 Maintenance Yard,4,0.96
2024,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 10,LA MTA Division 10 Maintenance Yard,5,0.95
2025,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 10,LA MTA Division 10 Maintenance Yard,6,0.94
2026,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 10,LA MTA Division 10 Maintenance Yard,7,0.93
2027,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 10,LA MTA Division 10 Maintenance Yard,8,0.92
2028,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 10,LA MTA Division 10 Maintenance Yard,9,0.89
2029,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 10,LA MTA Division 10 Maintenance Yard,10,0.86
2030,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 10,LA MTA Division 10 Maintenance Yard,11,0.8
2019,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 11,LA MTA Division 11 Maintenance Yard,0,1
2020,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 11,LA MTA Division 11 Maintenance Yard,1,0.99
2021,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 11,LA MTA Division 11 Maintenance Yard,2,0.98
2022,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 11,LA MTA Division 11 Maintenance Yard,3,0.97
2023,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 11,LA MTA Division 11 Maintenance Yard,4,0.96
2024,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 11,LA MTA Division 11 Maintenance Yard,5,0.95
2025,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 11,LA MTA Division 11 Maintenance Yard,6,0.94
2026,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 11,LA MTA Division 11 Maintenance Yard,7,0.93
2027,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 11,LA MTA Division 11 Maintenance Yard,8,0.92
2028,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 11,LA MTA Division 11 Maintenance Yard,9,0.89
2029,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 11,LA MTA Division 11 Maintenance Yard,10,0.86
2030,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 11,LA MTA Division 11 Maintenance Yard,11,0.8
2019,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 13,LA MTA Division 13 Maintenance Yard,0,1
2020,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 13,LA MTA Division 13 Maintenance Yard,1,0.99
2021,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 13,LA MTA Division 13 Maintenance Yard,2,0.98
2022,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 13,LA MTA Division 13 Maintenance Yard,3,0.97
2023,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 13,LA MTA Division 13 Maintenance Yard,4,0.96
2024,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 13,LA MTA Division 13 Maintenance Yard,5,0.95
2025,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 13,LA MTA Division 13 Maintenance Yard,6,0.94
2026,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 13,LA MTA Division 13 Maintenance Yard,7,0.93
2027,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 13,LA MTA Division 13 Maintenance Yard,8,0.92
2028,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 13,LA MTA Division 13 Maintenance Yard,9,0.89
2029,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 13,LA MTA Division 13 Maintenance Yard,10,0.86
2030,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 13,LA MTA Division 13 Maintenance Yard,11,0.8
2019,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 15,LA MTA Division 15 Maintenance Yard,0,1
2020,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 15,LA MTA Division 15 Maintenance Yard,1,0.99
2021,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 15,LA MTA Division 15 Maintenance Yard,2,0.98
2022,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 15,LA MTA Division 15 Maintenance Yard,3,0.97
2023,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 15,LA MTA Division 15 Maintenance Yard,4,0.96
2024,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 15,LA MTA Division 15 Maintenance Yard,5,0.95
2025,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 15,LA MTA Division 15 Maintenance Yard,6,0.94
2026,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 15,LA MTA Division 15 Maintenance Yard,7,0.93
2027,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 15,LA MTA Division 15 Maintenance Yard,8,0.92
2028,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 15,LA MTA Division 15 Maintenance Yard,9,0.89
2029,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 15,LA MTA Division 15 Maintenance Yard,10,0.86
2030,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 15,LA MTA Division 15 Maintenance Yard,11,0.8
2019,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 18,LA MTA Division 18 Maintenance Yard,0,1
2020,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 18,LA MTA Division 18 Maintenance Yard,1,0.99
2021,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 18,LA MTA Division 18 Maintenance Yard,2,0.98
2022,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 18,LA MTA Division 18 Maintenance Yard,3,0.97
2023,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 18,LA MTA Division 18 Maintenance Yard,4,0.96
2024,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 18,LA MTA Division 18 Maintenance Yard,5,0.95
2025,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 18,LA MTA Division 18 Maintenance Yard,6,0.94
2026,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 18,LA MTA Division 18 Maintenance Yard,7,0.93
2027,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 18,LA MTA Division 18 Maintenance Yard,8,0.92
2028,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 18,LA MTA Division 18 Maintenance Yard,9,0.89
2029,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 18,LA MTA Division 18 Maintenance Yard,10,0.86
2030,2019,HD Transit Bus,0,0,Los Angeles County MTA Division 18,LA MTA Division 18 Maintenance Yard,11,0.8
2019,2019,HD Transit Bus,0,0,Orange County Transportation Authority Garden Grove,OCTA Garden Grove Garage,0,1
2020,2019,HD Transit Bus,0,0,Orange County Transportation Authority Garden Grove,OCTA Garden Grove Garage,1,0.99
2021,2019,HD Transit Bus,0,0,Orange County Transportation Authority Garden Grove,OCTA Garden Grove Garage,2,0.98
2022,2019,HD Transit Bus,0,0,Orange County Transportation Authority Garden Grove,OCTA Garden Grove Garage,3,0.97
2023,2019,HD Transit Bus,0,0,Orange County Transportation Authority Garden Grove,OCTA Garden Grove Garage,4,0.96
2024,2019,HD Transit Bus,0,0,Orange County Transportation Authority Garden Grove,OCTA Garden Grove Garage,5,0.95
2025,2019,HD Transit Bus,0,0,Orange County Transportation Authority Garden Grove,OCTA Garden Grove Garage,6,0.94
2026,2019,HD Transit Bus,0,0,Orange County Transportation Authority Garden Grove,OCTA Garden Grove Garage,7,0.93
2027,2019,HD Transit Bus,0,0,Orange County Transportation Authority Garden Grove,OCTA Garden Grove Garage,8,0.92
2028,2019,HD Transit Bus,0,0,Orange County Transportation Authority Garden Grove,OCTA Garden Grove Garage,9,0.89
2029,2019,HD Transit Bus,0,0,Orange County Transportation Authority Garden Grove,OCTA Garden Grove Garage,10,0.86
2030,2019,HD Transit Bus,0,0,Orange County Transportation Authority Garden Grove,OCTA Garden Grove Garage,11,0.8
2019,2019,HD Transit Bus,0,0,Orange County Transportation Authority Santa Ana,OCTA Santa Ana Garage,0,1
2020,2019,HD Transit Bus,0,0,Orange County Transportation Authority Santa Ana,OCTA Santa Ana Garage,1,0.99
2021,2019,HD Transit Bus,0,0,Orange County Transportation Authority Santa Ana,OCTA Santa Ana Garage,2,0.98
2022,2019,HD Transit Bus,0,0,Orange County Transportation Authority Santa Ana,OCTA Santa Ana Garage,3,0.97
2023,2019,HD Transit Bus,0,0,Orange County Transportation Authority Santa Ana,OCTA Santa Ana Garage,4,0.96
2024,2019,HD Transit Bus,0,0,Orange County Transportation Authority Santa Ana,OCTA Santa Ana Garage,5,0.95
2025,2019,HD Transit Bus,0,0,Orange County Transportation Authority Santa Ana,OCTA Santa Ana Garage,6,0.94
2026,2019,HD Transit Bus,0,0,Orange County Transportation Authority Santa Ana,OCTA Santa Ana Garage,7,0.93
2027,2019,HD Transit Bus,0,0,Orange County Transportation Authority Santa Ana,OCTA Santa Ana Garage,8,0.92
2028,2019,HD Transit Bus,0,0,Orange County Transportation Authority Santa Ana,OCTA Santa Ana Garage,9,0.89
2029,2019,HD Transit Bus,0,0,Orange County Transportation Authority Santa Ana,OCTA Santa Ana Garage,10,0.86
2030,2019,HD Transit Bus,0,0,Orange County Transportation Authority Santa Ana,OCTA Santa Ana Garage,11,0.8
2019,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Imperial Avenue Division,SD MTS Imperial Avenue Division Yard,0,1
2020,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Imperial Avenue Division,SD MTS Imperial Avenue Division Yard,1,0.99
2021,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Imperial Avenue Division,SD MTS Imperial Avenue Division Yard,2,0.98
2022,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Imperial Avenue Division,SD MTS Imperial Avenue Division Yard,3,0.97
2023,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Imperial Avenue Division,SD MTS Imperial Avenue Division Yard,4,0.96
2024,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Imperial Avenue Division,SD MTS Imperial Avenue Division Yard,5,0.95
2025,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Imperial Avenue Division,SD MTS Imperial Avenue Division Yard,6,0.94
2026,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Imperial Avenue Division,SD MTS Imperial Avenue Division Yard,7,0.93
2027,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Imperial Avenue Division,SD MTS Imperial Avenue Division Yard,8,0.92
2028,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Imperial Avenue Division,SD MTS Imperial Avenue Division Yard,9,0.89
2029,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Imperial Avenue Division,SD MTS Imperial Avenue Division Yard,10,0.86
2030,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Imperial Avenue Division,SD MTS Imperial Avenue Division Yard,11,0.8
2019,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Kearny Mesa Division,SD MTS Kearny Mesa Division Yard,0,1
2020,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Kearny Mesa Division,SD MTS Kearny Mesa Division Yard,1,0.99
2021,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Kearny Mesa Division,SD MTS Kearny Mesa Division Yard,2,0.98
2022,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Kearny Mesa Division,SD MTS Kearny Mesa Division Yard,3,0.97
2023,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Kearny Mesa Division,SD MTS Kearny Mesa Division Yard,4,0.96
2024,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Kearny Mesa Division,SD MTS Kearny Mesa Division Yard,5,0.95
2025,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Kearny Mesa Division,SD MTS Kearny Mesa Division Yard,6,0.94
2026,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Kearny Mesa Division,SD MTS Kearny Mesa Division Yard,7,0.93
2027,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Kearny Mesa Division,SD MTS Kearny Mesa Division Yard,8,0.92
2028,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Kearny Mesa Division,SD MTS Kearny Mesa Division Yard,9,0.89
2029,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Kearny Mesa Division,SD MTS Kearny Mesa Division Yard,10,0.86
2030,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Kearny Mesa Division,SD MTS Kearny Mesa Division Yard,11,0.8
2019,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System South Bay Bus Maintenance Facility,SD MTS South Bay Bus Maintenance Facility,0,1
2020,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System South Bay Bus Maintenance Facility,SD MTS South Bay Bus Maintenance Facility,1,0.99
2021,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System South Bay Bus Maintenance Facility,SD MTS South Bay Bus Maintenance Facility,2,0.98
2022,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System South Bay Bus Maintenance Facility,SD MTS South Bay Bus Maintenance Facility,3,0.97
2023,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System South Bay Bus Maintenance Facility,SD MTS South Bay Bus Maintenance Facility,4,0.96
2024,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System South Bay Bus Maintenance Facility,SD MTS South Bay Bus Maintenance Facility,5,0.95
2025,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System South Bay Bus Maintenance Facility,SD MTS South Bay Bus Maintenance Facility,6,0.94
2026,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System South Bay Bus Maintenance Facility,SD MTS South Bay Bus Maintenance Facility,7,0.93
2027,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System South Bay Bus Maintenance Facility,SD MTS South Bay Bus Maintenance Facility,8,0.92
2028,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System South Bay Bus Maintenance Facility,SD MTS South Bay Bus Maintenance Facility,9,0.89
2029,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System South Bay Bus Maintenance Facility,SD MTS South Bay Bus Maintenance Facility,10,0.86
2030,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System South Bay Bus Maintenance Facility,SD MTS South Bay Bus Maintenance Facility,11,0.8
2019,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System East County Bus Maintenance Facility,SD MTS East County Bus Maintenance Facility,0,1
2020,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System East County Bus Maintenance Facility,SD MTS East County Bus Maintenance Facility,1,0.99
2021,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System East County Bus Maintenance Facility,SD MTS East County Bus Maintenance Facility,2,0.98
2022,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System East County Bus Maintenance Facility,SD MTS East County Bus Maintenance Facility,3,0.97
2023,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System East County Bus Maintenance Facility,SD MTS East County Bus Maintenance Facility,4,0.96
2024,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System East County Bus Maintenance Facility,SD MTS East County Bus Maintenance Facility,5,0.95
2025,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System East County Bus Maintenance Facility,SD MTS East County Bus Maintenance Facility,6,0.94
2026,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System East County Bus Maintenance Facility,SD MTS East County Bus Maintenance Facility,7,0.93
2027,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System East County Bus Maintenance Facility,SD MTS East County Bus Maintenance Facility,8,0.92
2028,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System East County Bus Maintenance Facility,SD MTS East County Bus Maintenance Facility,9,0.89
2029,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System East County Bus Maintenance Facility,SD MTS East County Bus Maintenance Facility,10,0.86
2030,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System East County Bus Maintenance Facility,SD MTS East County Bus Maintenance Facility,11,0.8
2019,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Copley Park Maintenance Facility,SD MTS Copley Park Maintenance Facility,0,1
2020,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Copley Park Maintenance Facility,SD MTS Copley Park Maintenance Facility,1,0.99
2021,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Copley Park Maintenance Facility,SD MTS Copley Park Maintenance Facility,2,0.98
2022,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Copley Park Maintenance Facility,SD MTS Copley Park Maintenance Facility,3,0.97
2023,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Copley Park Maintenance Facility,SD MTS Copley Park Maintenance Facility,4,0.96
2024,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Copley Park Maintenance Facility,SD MTS Copley Park Maintenance Facility,5,0.95
2025,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Copley Park Maintenance Facility,SD MTS Copley Park Maintenance Facility,6,0.94
2026,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Copley Park Maintenance Facility,SD MTS Copley Park Maintenance Facility,7,0.93
2027,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Copley Park Maintenance Facility,SD MTS Copley Park Maintenance Facility,8,0.92
2028,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Copley Park Maintenance Facility,SD MTS Copley Park Maintenance Facility,9,0.89
2029,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Copley Park Maintenance Facility,SD MTS Copley Park Maintenance Facility,10,0.86
2030,2019,HD Transit Bus,0,0,San Diego Metropolitan Transit System Copley Park Maintenance Facility,SD MTS Copley Park Maintenance Facility,11,0.8
2019,2019,HD Transit Bus,75,75,Alameda/Contra Costa Transit District Emeryville Division,AC Transit Emeryville Facility,0,1
2020,2019,HD Transit Bus,75,74,Alameda/Contra Costa Transit District Emeryville Division,AC Transit Emeryville Facility,1,0.99
2021,2019,HD Transit Bus,75,74,Alameda/Contra Costa Transit District Emeryville Division,AC Transit Emeryville Facility,2,0.98
2022,2019,HD Transit Bus,75,73,Alameda/Contra Costa Transit District Emeryville Division,AC Transit Emeryville Facility,3,0.97
2023,2019,HD Transit Bus,75,72,Alameda/Contra Costa Transit District Emeryville Division,AC Transit Emeryville Facility,4,0.96
2024,2019,HD Transit Bus,75,71,Alameda/Contra Costa Transit District Emeryville Division,AC Transit Emeryville Facility,5,0.95
2025,2019,HD Transit Bus,75,70,Alameda/Contra Costa Transit District Emeryville Division,AC Transit Emeryville Facility,6,0.94
2026,2019,HD Transit Bus,75,70,Alameda/Contra Costa Transit District Emeryville Division,AC Transit Emeryville Facility,7,0.93
2027,2019,HD Transit Bus,75,69,Alameda/Contra Costa Transit District Emeryville Division,AC Transit Emeryville Facility,8,0.92
2028,2019,HD Transit Bus,75,67,Alameda/Contra Costa Transit District Emeryville Division,AC Transit Emeryville Facility,9,0.89
2029,2019,HD Transit Bus,75,64,Alameda/Contra Costa Transit District Emeryville Division,AC Transit Emeryville Facility,10,0.86
2030,2019,HD Transit Bus,75,60,Alameda/Contra Costa Transit District Emeryville Division,AC Transit Emeryville Facility,11,0.8
2019,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Richmond Division,AC Transit Richmond Facility,0,1
2020,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Richmond Division,AC Transit Richmond Facility,1,0.99
2021,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Richmond Division,AC Transit Richmond Facility,2,0.98
2022,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Richmond Division,AC Transit Richmond Facility,3,0.97
2023,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Richmond Division,AC Transit Richmond Facility,4,0.96
2024,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Richmond Division,AC Transit Richmond Facility,5,0.95
2025,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Richmond Division,AC Transit Richmond Facility,6,0.94
2026,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Richmond Division,AC Transit Richmond Facility,7,0.93
2027,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Richmond Division,AC Transit Richmond Facility,8,0.92
2028,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Richmond Division,AC Transit Richmond Facility,9,0.89
2029,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Richmond Division,AC Transit Richmond Facility,10,0.86
2030,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Richmond Division,AC Transit Richmond Facility,11,0.8
2019,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District East Oakland Division,AC Transit East Oakland Facility,0,1
2020,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District East Oakland Division,AC Transit East Oakland Facility,1,0.99
2021,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District East Oakland Division,AC Transit East Oakland Facility,2,0.98
2022,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District East Oakland Division,AC Transit East Oakland Facility,3,0.97
2023,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District East Oakland Division,AC Transit East Oakland Facility,4,0.96
2024,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District East Oakland Division,AC Transit East Oakland Facility,5,0.95
2025,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District East Oakland Division,AC Transit East Oakland Facility,6,0.94
2026,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District East Oakland Division,AC Transit East Oakland Facility,7,0.93
2027,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District East Oakland Division,AC Transit East Oakland Facility,8,0.92
2028,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District East Oakland Division,AC Transit East Oakland Facility,9,0.89
2029,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District East Oakland Division,AC Transit East Oakland Facility,10,0.86
2030,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District East Oakland Division,AC Transit East Oakland Facility,11,0.8
2019,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Hayward Division,AC Transit Hayward Facility,0,1
2020,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Hayward Division,AC Transit Hayward Facility,1,0.99
2021,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Hayward Division,AC Transit Hayward Facility,2,0.98
2022,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Hayward Division,AC Transit Hayward Facility,3,0.97
2023,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Hayward Division,AC Transit Hayward Facility,4,0.96
2024,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Hayward Division,AC Transit Hayward Facility,5,0.95
2025,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Hayward Division,AC Transit Hayward Facility,6,0.94
2026,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Hayward Division,AC Transit Hayward Facility,7,0.93
2027,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Hayward Division,AC Transit Hayward Facility,8,0.92
2028,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Hayward Division,AC Transit Hayward Facility,9,0.89
2029,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Hayward Division,AC Transit Hayward Facility,10,0.86
2030,2019,HD Transit Bus,0,0,Alameda/Contra Costa Transit District Hayward Division,AC Transit Hayward Facility,11,0.8
2019,2019,HD Transit Bus,0,0,Santa Clara Valley Transportation Authority - Chaboya Division,VTA Chaboya Division Yard,0,1
2020,2019,HD Transit Bus,0,0,Santa Clara Valley Transportation Authority - Chaboya Division,VTA Chaboya Division Yard,1,0.99
