CY,MY,FCET_type,Population.NoLoss,Population.Survived,Fleet,Hub,Age,Survival
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VISALIA 11321,UPS CC - VISALIA 11321,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VISALIA 11321,UPS CC - VISALIA 11321,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VISALIA 11321,UPS CC - VISALIA 11321,3,0.97
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VISALIA 11321,UPS CC - VISALIA 11321,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VISALIA 11321,UPS CC - VISALIA 11321,5,0.95
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VISALIA 11321,UPS CC - VISALIA 11321,6,0.94
2025,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VISALIA 11321,UPS CC - VISALIA 11321,7,0.93
2026,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VISALIA 11321,UPS CC - VISALIA 11321,8,0.92
2027,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VISALIA 11321,UPS CC - VISALIA 11321,9,0.89
2028,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VISALIA 11321,UPS CC - VISALIA 11321,10,0.86
2029,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VISALIA 11321,UPS CC - VISALIA 11321,11,0.8
2030,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VISALIA 11321,UPS CC - VISALIA 11321,12,0.75
2018,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - RIDGECREST 11496,UPS CC - RIDGECREST 11496,0,1
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - RIDGECREST 11496,UPS CC - RIDGECREST 11496,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - RIDGECREST 11496,UPS CC - RIDGECREST 11496,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - RIDGECREST 11496,UPS CC - RIDGECREST 11496,3,0.97
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - RIDGECREST 11496,UPS CC - RIDGECREST 11496,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - RIDGECREST 11496,UPS CC - RIDGECREST 11496,5,0.95
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - RIDGECREST 11496,UPS CC - RIDGECREST 11496,6,0.94
2025,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - RIDGECREST 11496,UPS CC - RIDGECREST 11496,7,0.93
2026,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - RIDGECREST 11496,UPS CC - RIDGECREST 11496,8,0.92
2027,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - RIDGECREST 11496,UPS CC - RIDGECREST 11496,9,0.89
2028,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - RIDGECREST 11496,UPS CC - RIDGECREST 11496,10,0.86
2029,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - RIDGECREST 11496,UPS CC - RIDGECREST 11496,11,0.8
2030,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - RIDGECREST 11496,UPS CC - RIDGECREST 11496,12,0.75
2018,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VENTURA 11485,UPS CC - VENTURA 11485,0,1
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VENTURA 11485,UPS CC - VENTURA 11485,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VENTURA 11485,UPS CC - VENTURA 11485,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VENTURA 11485,UPS CC - VENTURA 11485,3,0.97
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VENTURA 11485,UPS CC - VENTURA 11485,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VENTURA 11485,UPS CC - VENTURA 11485,5,0.95
