"CY","zip","Daily.kgH2","country"
2030,90232,97.5,"USA"
2018,90247,0,"USA"
2019,90247,0,"USA"
2020,90247,0,"USA"
2021,90247,0,"USA"
2022,90247,0,"USA"
2023,90247,0,"USA"
2024,90247,0,"USA"
2025,90247,7.5,"USA"
2026,90247,22.5,"USA"
2027,90247,37.5,"USA"
2028,90247,52.5,"USA"
2029,90247,75,"USA"
2030,90247,97.5,"USA"
2018,90248,0,"USA"
2019,90248,0,"USA"
2020,90248,10.7913669064748,"USA"
2021,90248,21.5827338129496,"USA"
2022,90248,43.1654676258993,"USA"
2023,90248,64.7482014388489,"USA"
2024,90248,86.3309352517986,"USA"
2025,90248,126.205035971223,"USA"
2026,90248,173.579136690647,"USA"
2027,90248,220.953237410072,"USA"
2028,90248,279.118705035971,"USA"
2029,90248,344.784172661871,"USA"
2030,90248,421.241007194245,"USA"
2018,90250,0,"USA"
2019,90250,0,"USA"
2020,90250,0,"USA"
2021,90250,0,"USA"
2022,90250,0,"USA"
2023,90250,0,"USA"
2024,90250,0,"USA"
2025,90250,7.5,"USA"
2026,90250,22.5,"USA"
2027,90250,37.5,"USA"
2028,90250,52.5,"USA"
2029,90250,75,"USA"
2030,90250,97.5,"USA"
2018,90291,0,"USA"
2019,90291,0,"USA"
2020,90291,10.7913669064748,"USA"
2021,90291,21.5827338129496,"USA"
2022,90291,43.1654676258993,"USA"
2023,90291,64.7482014388489,"USA"
2024,90291,86.3309352517986,"USA"
2025,90291,118.705035971223,"USA"
2026,90291,151.079136690647,"USA"
2027,90291,183.453237410072,"USA"
2028,90291,226.618705035971,"USA"
2029,90291,269.784172661871,"USA"
2030,90291,323.741007194245,"USA"
2018,90292,0,"USA"
2019,90292,0,"USA"
2020,90292,0,"USA"
2021,90292,0,"USA"
2022,90292,0,"USA"
2023,90292,0,"USA"
2024,90292,0,"USA"
2025,90292,7.5,"USA"
2026,90292,22.5,"USA"
2027,90292,37.5,"USA"
2028,90292,52.5,"USA"
2029,90292,75,"USA"
2030,90292,97.5,"USA"
2018,90401,0,"USA"
2019,90401,0,"USA"
2020,90401,10.7913669064748,"USA"
2021,90401,21.5827338129496,"USA"
2022,90401,43.1654676258993,"USA"
2023,90401,64.7482014388489,"USA"
2024,90401,86.3309352517986,"USA"
2025,90401,118.705035971223,"USA"
2026,90401,151.079136690647,"USA"
2027,90401,183.453237410072,"USA"
2028,90401,226.618705035971,"USA"
2029,90401,269.784172661871,"USA"
2030,90401,323.741007194245,"USA"
2018,90620,0,"USA"
2019,90620,0,"USA"
2020,90620,10,"USA"
2021,90620,20,"USA"
2022,90620,40,"USA"
2023,90620,60,"USA"
2024,90620,80,"USA"
2025,90620,110,"USA"
2026,90620,140,"USA"
2027,90620,180,"USA"
2028,90620,220,"USA"
2029,90620,260,"USA"
2030,90620,310,"USA"
2018,90650,0,"USA"
2019,90650,0,"USA"
2020,90650,10,"USA"
2021,90650,20,"USA"
2022,90650,40,"USA"
2023,90650,60,"USA"
2024,90650,80,"USA"
2025,90650,110,"USA"
2026,90650,140,"USA"
2027,90650,180,"USA"
2028,90650,220,"USA"
2029,90650,260,"USA"
2030,90650,310,"USA"
2018,90670,0,"USA"
2019,90670,0,"USA"
2020,90670,0,"USA"
2021,90670,0,"USA"
2022,90670,0,"USA"
2023,90670,0,"USA"
2024,90670,0,"USA"
2025,90670,7.5,"USA"
2026,90670,22.5,"USA"
2027,90670,37.5,"USA"
2028,90670,52.5,"USA"
2029,90670,75,"USA"
