,hrs_node_id,node_name,daily_kgH2
30,32,I-405 & I-710,3698077.4232902895
32,34,East LA,1791156.3773220088
17,18,Hayward,1327921.8286029985
16,17,San Jose,706349.6305503761
68,70,Oceanside,238186.33611859215
18,19,Stockton,176110.10979904712
65,67,Lebec,117843.58814998963
42,44,Harris Ranch,102279.67681789941
10,11,Vacaville,51635.55693667569
49,51,Livingston,39371.590359781774
61,63,Earlimart,38204.681997099644
3,4,Woodland,16776.74193771149
70,72,Orland,9490.781023409985
