hrs_node_id,node_name,daily_kgH2
34,East LA,52153.77586206903
18,Hayward,26523.635862068983
33,Irvine,17067.44505747126
17,San Jose,14108.481379310348
70,Oceanside,3857.0055172413795
19,Stockton,3517.5868965517234
67,Lebec,2353.7834482758626
44,Harris Ranch,2042.913103448274
11,Vacaville,1031.357931034483
51,Livingston,786.4000000000001
63,Earlimart,763.0924137931034
4,Woodland,335.0951724137931
72,Orland,189.56689655172423
