orig_node_id,dest_node_id,trip_count,path_id
13,18,40940.5,0
18,13,40940.5,1
12,13,3447.5,2
12,18,3447.5,3
25,13,245.0,4
25,18,245.0,5
29,13,77.33333333333333,6
29,18,77.33333333333333,7
31,13,77.33333333333333,8
31,18,77.33333333333333,9
35,13,77.33333333333333,10
35,18,77.33333333333333,11
33,13,67.5,12
33,18,67.5,13
7,13,99.0,14
7,18,99.0,15
5,13,197.25,16
5,18,197.25,17
6,13,197.25,18
6,18,197.25,19
37,13,36.0,20
37,18,36.0,21
39,13,48.5,22
39,18,48.5,23
14,13,4644.5,24
14,18,4644.5,25
15,13,4644.5,26
15,18,4644.5,27
19,13,803.5,28
19,18,803.5,29
16,13,1645.0,30
16,18,1645.0,31
17,13,5851.5,32
17,18,5851.5,33
1,13,20.0,34
1,18,20.0,35
2,13,28.5,36
2,18,28.5,37
13,12,3200.5,38
18,12,3200.5,39
25,12,271.0,40
29,12,96.0,41
31,12,96.0,42
35,12,96.0,43
33,12,56.0,44
7,12,127.0,45
5,12,312.0,46
6,12,312.0,47
37,12,22.0,48
39,12,49.0,49
14,12,4008.0,50
15,12,4008.0,51
19,12,1311.0,52
16,12,973.0,53
17,12,2612.0,54
1,12,13.0,55
2,12,24.0,56
13,25,132.5,57
18,25,132.5,58
12,25,192.0,59
29,25,229.66666666666666,60
31,25,229.66666666666666,61
35,25,229.66666666666666,62
33,25,146.0,63
7,25,47.0,64
5,25,111.0,65
6,25,111.0,66
37,25,96.0,67
39,25,147.0,68
14,25,42.5,69
15,25,42.5,70
19,25,158.0,71
16,25,154.0,72
17,25,272.0,73
1,25,16.0,74
2,25,16.0,75
13,29,82.33333333333333,76
13,31,82.33333333333333,77
13,35,82.33333333333333,78
18,29,82.33333333333333,79
18,31,82.33333333333333,80
18,35,82.33333333333333,81
12,29,155.33333333333334,82
12,31,155.33333333333334,83
12,35,155.33333333333334,84
25,29,361.3333333333333,85
25,31,361.3333333333333,86
25,35,361.3333333333333,87
29,31,102552.5,88
29,35,102552.5,89
31,29,102552.5,90
31,35,102552.5,91
35,29,102552.5,92
35,31,102552.5,93
33,29,11618.666666666666,94
33,31,11618.666666666666,95
33,35,11618.666666666666,96
7,29,33.0,97
7,31,33.0,98
7,35,33.0,99
5,29,61.166666666666664,100
5,31,61.166666666666664,101
