orig_node_id,dest_node_id,trip_count,path_id
5,19,1342.0,294
6,19,1342.0,295
37,19,17.0,296
39,19,42.0,297
14,19,198.5,298
15,19,198.5,299
16,19,221.0,300
17,19,705.0,301
1,19,27.0,302
2,19,3.0,303
13,16,1544.5,304
18,16,1544.5,305
12,16,832.0,306
25,16,127.0,307
29,16,34.666666666666664,308
31,16,34.666666666666664,309
35,16,34.666666666666664,310
33,16,33.0,311
7,16,41.0,312
5,16,72.5,313
6,16,72.5,314
37,16,15.0,315
39,16,41.0,316
14,16,8824.5,317
15,16,8824.5,318
19,16,146.0,319
17,16,7489.0,320
1,16,3.0,321
2,16,13.0,322
13,17,6721.0,323
18,17,6721.0,324
12,17,2163.0,325
25,17,449.0,326
29,17,162.66666666666666,327
31,17,162.66666666666666,328
35,17,162.66666666666666,329
33,17,97.0,330
7,17,112.0,331
5,17,237.0,332
6,17,237.0,333
37,17,53.0,334
39,17,114.0,335
14,17,6322.0,336
15,17,6322.0,337
19,17,736.0,338
16,17,9637.0,339
1,17,14.0,340
2,17,40.0,341
13,1,18.5,342
18,1,18.5,343
12,1,60.0,344
25,1,24.0,345
29,1,10.0,346
31,1,10.0,347
35,1,10.0,348
33,1,5.0,349
7,1,25.0,350
5,1,33.0,351
6,1,33.0,352
37,1,4.0,353
39,1,10.0,354
14,1,5.0,355
15,1,5.0,356
19,1,20.0,357
16,1,19.0,358
17,1,23.0,359
2,1,853.0,360
13,2,4.0,361
18,2,4.0,362
12,2,2.0,363
25,2,6.0,364
29,2,1.3333333333333333,365
31,2,1.3333333333333333,366
35,2,1.3333333333333333,367
33,2,0.0,368
7,2,4.0,369
5,2,10.5,370
6,2,10.5,371
37,2,0.0,372
39,2,0.0,373
14,2,0.0,374
15,2,0.0,375
19,2,9.0,376
16,2,3.0,377
17,2,10.0,378
1,2,867.0,379
