hrs_node_id,kgH2
3,191189.2969103069
11,188346.22153954738
13,176139.15539970866
17,139711.23434379313
18,128009.49398424433
19,201877.4719109975
33,310999.02203991223
34,523646.8670432823
44,176351.30293337067
51,70411.12161212509
63,10733.797755709453
67,161054.6472168901
70,37250.09700106173
72,295513.3812092001
