route_id,orig_node_id,dest_node_id,volume,path_id
0,13,18,40940.5,0
1,18,13,40940.5,1
2,12,13,3447.5,2
3,12,18,3447.5,3
4,25,13,245.0,4
5,25,18,245.0,5
6,29,13,77.33333333333333,6
7,29,18,77.33333333333333,7
8,31,13,77.33333333333333,8
9,31,18,77.33333333333333,9
10,35,13,77.33333333333333,10
11,35,18,77.33333333333333,11
12,33,13,67.5,12
13,33,18,67.5,13
14,7,13,99.0,14
15,7,18,99.0,15
16,5,13,197.25,16
17,5,18,197.25,17
18,6,13,197.25,18
19,6,18,197.25,19
20,37,13,36.0,20
21,37,18,36.0,21
22,39,13,48.5,22
23,39,18,48.5,23
24,14,13,4644.5,24
25,14,18,4644.5,25
26,15,13,4644.5,26
27,15,18,4644.5,27
28,19,13,803.5,28
29,19,18,803.5,29
30,16,13,1645.0,30
31,16,18,1645.0,31
32,17,13,5851.5,32
33,17,18,5851.5,33
34,1,13,20.0,34
35,1,18,20.0,35
36,2,13,28.5,36
37,2,18,28.5,37
38,13,12,3200.5,38
39,18,12,3200.5,39
40,25,12,271.0,40
41,29,12,96.0,41
42,31,12,96.0,42
43,35,12,96.0,43
44,33,12,56.0,44
45,7,12,127.0,45
46,5,12,312.0,46
47,6,12,312.0,47
48,37,12,22.0,48
49,39,12,49.0,49
50,14,12,4008.0,50
51,15,12,4008.0,51
52,19,12,1311.0,52
53,16,12,973.0,53
54,17,12,2612.0,54
55,1,12,13.0,55
56,2,12,24.0,56
57,13,25,132.5,57
58,18,25,132.5,58
59,12,25,192.0,59
60,29,25,229.66666666666666,60
61,31,25,229.66666666666666,61
62,35,25,229.66666666666666,62
63,33,25,146.0,63
64,7,25,47.0,64
65,5,25,111.0,65
66,6,25,111.0,66
67,37,25,96.0,67
68,39,25,147.0,68
69,14,25,42.5,69
70,15,25,42.5,70
71,19,25,158.0,71
72,16,25,154.0,72
73,17,25,272.0,73
74,1,25,16.0,74
75,2,25,16.0,75
76,13,29,82.33333333333333,76
77,13,31,82.33333333333333,77
78,13,35,82.33333333333333,78
79,18,29,82.33333333333333,79
80,18,31,82.33333333333333,80
81,18,35,82.33333333333333,81
82,12,29,155.33333333333334,82
83,12,31,155.33333333333334,83
84,12,35,155.33333333333334,84
85,25,29,361.3333333333333,85
86,25,31,361.3333333333333,86
87,25,35,361.3333333333333,87
88,29,31,102552.5,88
89,29,35,102552.5,89
90,31,29,102552.5,90
91,31,35,102552.5,91
92,35,29,102552.5,92
93,35,31,102552.5,93
94,33,29,11618.666666666666,94
95,33,31,11618.666666666666,95
96,33,35,11618.666666666666,96
97,7,29,33.0,97
98,7,31,33.0,98
99,7,35,33.0,99
100,5,29,61.166666666666664,100
101,5,31,61.166666666666664,101
102,5,35,61.166666666666664,102
103,6,29,61.166666666666664,103
104,6,31,61.166666666666664,104
105,6,35,61.166666666666664,105
106,37,29,4611.0,106
107,37,31,4611.0,107
108,37,35,4611.0,108
109,39,29,2283.3333333333335,109
110,39,31,2283.3333333333335,110
111,39,35,2283.3333333333335,111
112,14,29,25.0,112
113,14,31,25.0,113
114,14,35,25.0,114
115,15,29,25.0,115
